Code;Cluster;Region;Type;Source
CF FIBRA  -TERCEIRO;Unknown;Unknown;Unknown;FIBRA/NET
CF ADE -TERCEIRO;Unknown;Unknown;Unknown;FIBRA/NET
DP/RJO/AM/NET/FO;RIO DE JANEIRO;DESPACHO (DP);Despacho (DP);FIBRA/NET
RC/BHE /ES /NET/SG;MINAS GERAIS;BELO HORIZONTE;Recuperação (RC);FIBRA/NET
RC/BLM /NO /NET/SG;NORTE;BELÉM;Recuperação (RC);FIBRA/NET
RC/RJO /AM /NET/SG;RIO DE JANEIRO;RIO DE JANEIRO;Recuperação (RC);FIBRA/NET
RC/SLS /CE /NET/SG;NORTE;SÃO LUÍS;Recuperação (RC);FIBRA/NET
RC/VTA /JM /NET/SG;ESPIRITO SANTO;VITÓRIA;Recuperação (RC);FIBRA/NET
RT/CVZ /LB /NET/FO;ESPIRITO SANTO;CACHOEIRO DE ITAPEMIRIM;Retirada (RT);FIBRA/NET
RT/MBA /QE /NET/FO;NORTE;MARABÁ;Retirada (RT);FIBRA/NET
RT/RJO /LGS/NET/FO;RIO DE JANEIRO;RIO DE JANEIRO;Retirada (RT);FIBRA/NET
RT/RJO /MTP/NET/FO;RIO DE JANEIRO;METROPOLITANA;Retirada (RT);FIBRA/NET
RT/RJO /NO3/PCS/FO;RIO DE JANEIRO;NORTE 3;Retirada (RT);FIBRA/NET
RT/VTA /MTN/FFA/FO;ESPIRITO SANTO;VITORIA;Retirada (RT);FIBRA/NET
RT/VTA /MTS/FFA/FO;ESPIRITO SANTO;VITORIA;Retirada (RT);FIBRA/NET
RT/VTA /NOR/FFA/FO;ESPIRITO SANTO;VITORIA;Retirada (RT);FIBRA/NET
RT/VTA /SUL/FFA/FO;ESPIRITO SANTO;VITORIA;Retirada (RT);FIBRA/NET
MU/RCE /NE /MDU/BS;NORDESTE;RECIFE;MDU;FIBRA/NET
RC/RJO /NO3/NET/BS;RIO DE JANEIRO;NORTE 3;Recuperação (RC);FIBRA/NET
RC/RJO/NO1/NET/FO;RIO DE JANEIRO;NORTE 1;Recuperação (RC);FIBRA/NET
RT/RJO/NO1/NET/FO;RIO DE JANEIRO;NORTE 1;Retirada (RT);FIBRA/NET
RC/RJO/NO2/NET/FO;RIO DE JANEIRO;NORTE 2;Recuperação (RC);FIBRA/NET
RT/RJO/NO2/NET/FO;RIO DE JANEIRO;NORTE 2;Retirada (RT);FIBRA/NET
RC/RJO/NO3/NET/FO;RIO DE JANEIRO;NORTE 3;Recuperação (RC);FIBRA/NET
RT/RJO/NO3/IFX/FO;RIO DE JANEIRO;NORTE 3;Retirada (RT);FIBRA/NET
RC/RJO/CZS/NET/FO;RIO DE JANEIRO;NORTE 3;Recuperação (RC);FIBRA/NET
RT/RJO/CZS/NET/FO;RIO DE JANEIRO;NORTE 3;Retirada (RT);FIBRA/NET
RC/RJO/OE1/NET/FO;RIO DE JANEIRO;CENTRO SUL;Recuperação (RC);FIBRA/NET
RT/RJO/OE1/NET/FO;RIO DE JANEIRO;CENTRO SUL;Retirada (RT);FIBRA/NET
RC/RJO/SU2/NET/FO;RIO DE JANEIRO;CENTRO SUL;Recuperação (RC);FIBRA/NET
RT/RJO/SU2/NET/FO;RIO DE JANEIRO;CENTRO SUL;Retirada (RT);FIBRA/NET
RC/RJO/BX1/NET/FO;RIO DE JANEIRO;BAIXADA;Recuperação (RC);FIBRA/NET
RT/RJO/BX1/NET/FO;RIO DE JANEIRO;BAIXADA;Retirada (RT);FIBRA/NET
RC/RJO/MTP/NET/FO;RIO DE JANEIRO;METROPOLITANA;Recuperação (RC);FIBRA/NET
RT/RJO /MTP/FFA/FO;RIO DE JANEIRO;METROPOLITANA;Retirada (RT);FIBRA/NET
RC/RJO/NOF/NET/FO;RIO DE JANEIRO;NORTE FLUMINENSE;Recuperação (RC);FIBRA/NET
RT/RJO/NOF/NET/FO;RIO DE JANEIRO;NORTE FLUMINENSE;Retirada (RT);FIBRA/NET
RC/RJO/SUF/NET/FO;RIO DE JANEIRO;SUL FLUMINENSE;Recuperação (RC);FIBRA/NET
RT/RJO/SUF/NET/FO;RIO DE JANEIRO;SUL FLUMINENSE;Retirada (RT);FIBRA/NET
RC/RJO/SEF/NET/FO;RIO DE JANEIRO;SERRA;Recuperação (RC);FIBRA/NET
RT/RJO/SEF/NET/FO;RIO DE JANEIRO;SERRA;Retirada (RT);FIBRA/NET
RC/RJO /LGS/NET/FO;RIO DE JANEIRO;REGIÃO DOS LAGOS;Recuperação (RC);FIBRA/NET
RT/RJO/LGS/FFA/FO;RIO DE JANEIRO;REGIÃO DOS LAGOS;Retirada (RT);FIBRA/NET
DP/VTA/JM/NET/FO;ESPIRITO SANTO;DESPACHO (DP);Despacho (DP);FIBRA/NET
RC/VTA/MTP/NET/FO;ESPIRITO SANTO;VITORIA;Recuperação (RC);FIBRA/NET
